genome_id,antibiotic,resistant_phenotype,laboratory_typing_method
562.56783,ciprofloxacin,Resistant,Disk diffusion
562.99772,meropenem,Susceptible,Disk diffusion
562.99136,meropenem,Susceptible,Disk diffusion
562.145027,ciprofloxacin,Susceptible,Disk diffusion
562.98600,ceftazidime,Susceptible,Disk diffusion
562.7567,chloramphenicol,Susceptible,Broth dilution
562.97941,ampicillin,Susceptible,Disk diffusion
562.42684,ceftazidime,Resistant,Broth dilution
562.99107,ciprofloxacin,Susceptible,Disk diffusion
562.100659,ceftazidime,Susceptible,Disk diffusion
562.7641,tetracycline,Resistant,Broth dilution
562.98963,gentamicin,Susceptible,Disk diffusion
562.99221,ciprofloxacin,Susceptible,Disk diffusion
562.100103,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.98272,ceftazidime,Susceptible,Disk diffusion
562.100868,meropenem,Susceptible,Disk diffusion
562.99297,ampicillin,Susceptible,Disk diffusion
562.99515,gentamicin,Susceptible,Disk diffusion
562.22950,ciprofloxacin,Susceptible,Agar dilution
562.97213,meropenem,Susceptible,Broth dilution
562.58780,ceftriaxone,Susceptible,Disk diffusion
562.97842,gentamicin,Susceptible,Disk diffusion
562.23663,ciprofloxacin,Susceptible,Agar dilution
562.65809,ciprofloxacin,Resistant,
562.145080,ciprofloxacin,Susceptible,Disk diffusion
562.23147,ciprofloxacin,Susceptible,Agar dilution
562.99081,gentamicin,Susceptible,Disk diffusion
562.100403,ciprofloxacin,Susceptible,Disk diffusion
562.97981,meropenem,Susceptible,Disk diffusion
562.23137,gentamicin,Susceptible,Agar dilution
562.98656,ampicillin,Resistant,Disk diffusion
562.58721,ampicillin,Resistant,Broth dilution
562.42768,gentamicin,Resistant,Broth dilution
562.98939,ceftazidime,Susceptible,Disk diffusion
562.98506,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.22446,meropenem,Susceptible,Broth dilution
562.98771,ampicillin,Susceptible,Disk diffusion
562.65246,ampicillin,Resistant,
562.96655,gentamicin,Susceptible,Broth dilution
562.145389,chloramphenicol,Resistant,Broth dilution
562.100865,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.58718,ciprofloxacin,Susceptible,Broth dilution
562.100193,ceftazidime,Susceptible,Disk diffusion
562.96534,ceftazidime,Susceptible,Broth dilution
562.140838,meropenem,Susceptible,Disk diffusion
562.7673,ampicillin,Resistant,Broth dilution
562.98385,ceftazidime,Susceptible,Disk diffusion
562.65565,ampicillin,Resistant,
562.100440,ceftazidime,Susceptible,Disk diffusion
562.22882,ceftazidime,Susceptible,Agar dilution
562.145047,tetracycline,Susceptible,Disk diffusion
562.7769,meropenem,Susceptible,Broth dilution
562.99593,ceftazidime,Susceptible,Disk diffusion
562.22963,ceftazidime,Susceptible,Agar dilution
562.100092,trimethoprim/sulfamethoxazole,Resistant,Disk diffusion
562.97145,ciprofloxacin,Susceptible,Broth dilution
562.57372,ceftazidime,Resistant,Broth dilution
562.98415,gentamicin,Susceptible,Disk diffusion
562.97959,ceftazidime,Susceptible,Disk diffusion
562.7671,meropenem,Susceptible,Broth dilution
562.57329,ampicillin,Susceptible,Broth dilution
562.22606,ciprofloxacin,Susceptible,Broth dilution
562.23374,ciprofloxacin,Susceptible,Agar dilution
562.96434,ciprofloxacin,Susceptible,Broth dilution
562.144915,trimethoprim/sulfamethoxazole,Resistant,Disk diffusion
562.100338,ciprofloxacin,Susceptible,Disk diffusion
562.65800,chloramphenicol,Resistant,
562.99737,gentamicin,Susceptible,Disk diffusion
562.96630,ceftazidime,Susceptible,Broth dilution
562.100675,ceftazidime,Susceptible,Disk diffusion
562.99744,ciprofloxacin,Susceptible,Disk diffusion
562.100020,ampicillin,Susceptible,Disk diffusion
562.45639,chloramphenicol,Resistant,Disk diffusion
562.99493,meropenem,Susceptible,Disk diffusion
